date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
9/14/22,56,45,23,99,67,62,20,100,18300,23580,5280,1800,7920,8580,35,78,2850,12810,2022-09-13T22:23:16-04:00,2022-09-14T04:56:16-04:00,51.42,45,66,-0.36,-0.16,12.75,93,63,95,95,100,100,813,2934,15925,15413,39000,23040,18180,5220,960,0,1.71875,1,67,25,48,73,90,93,100,86,71
9/15/22,71,62,34,98,96,58,81,100,22590,24720,2130,2550,12690,7350,40,91,480,12300,2022-09-14T22:14:23-04:00,2022-09-15T05:06:23-04:00,50.52,47,66,0.04,-0.09,12.375,94,71,100,95,100,100,527,2650,12064,9788,35280,25200,20940,3180,0,1800,1.5625,0,76,63,50,76,87,100,96,88,100
9/16/22,75,61,63,98,90,71,83,100,22200,25200,3000,4590,9810,7800,33,88,570,12600,2022-09-15T22:21:39-04:00,2022-09-16T05:21:39-04:00,49.66,46,66,-0.12,-0.02,12.5,96,73,100,100,100,100,825,2990,18112,16249,34440,20580,26160,5040,180,0,1.78125,0,81,73,52,94,90,100,100,89,100
9/19/22,66,72,52,99,55,69,1,100,25170,34320,9150,3840,13110,8220,31,73,6750,19140,2022-09-18T20:00:22-04:00,2022-09-19T05:32:22-04:00,51.03,43,79,0.33,0.17,13,94,74,100,95,100,97,801,2972,16884,14816,34080,21360,23460,6360,180,960,1.75,0,78,50,59,None,100,77,94,94,96
9/20/22,65,47,32,97,79,61,83,100,18690,22440,3750,2370,9450,6870,36,83,1230,11580,2022-09-19T23:26:00-04:00,2022-09-20T05:40:00-04:00,51.8,47,67,-0.2,0.11,12.75,87,57,95,78,100,96,340,2453,8226,6285,41700,25800,17580,1320,0,0,1.4375,1,74,48,54,87,96,98,94,94,70
9/21/22,72,62,32,100,88,70,75,100,22500,25860,3360,2400,10440,9660,32,87,360,12540,2022-09-20T22:06:39-04:00,2022-09-21T05:17:39-04:00,52.19,47,71,-0.3,-0.05,12.875,91,81,100,78,100,96,568,2671,13510,11231,30420,28980,24120,2820,60,0,1.5625,0,80,65,56,92,99,95,94,94,91
9/22/22,76,62,69,99,93,75,72,100,22620,25500,2880,5010,9330,8280,17,89,330,12570,2022-09-21T21:26:05-04:00,2022-09-22T04:31:05-04:00,52.29,47,62,0.37,0.06,12.875,85,63,60,78,100,100,1160,3300,19868,21326,39060,19860,20700,4080,2700,0,1.9375,3,78,75,57,96,100,73,94,92,48
9/23/22,80,70,94,99,93,73,64,100,24600,27780,3180,6750,9510,8340,20,89,150,13500,2022-09-22T23:01:59-04:00,2022-09-23T06:44:59-04:00,52.7,47,54,-0.1,0.13,14.25,90,74,100,78,100,100,958,3103,20937,19172,34440,16980,25080,6600,540,2760,1.84375,0,79,85,60,55,90,100,94,89,91
9/27/22,67,51,38,98,88,60,72,100,19860,22800,2940,2820,9420,7620,40,87,330,11130,2022-09-26T22:16:58-04:00,2022-09-27T04:36:58-04:00,50.39,46,66,-0.09,-0.01,12.875,94,71,100,95,100,100,1009,3159,15646,19883,30240,23760,25260,6240,720,180,1.875,0,63,53,42,56,73,100,100,None,72
9/28/22,72,54,50,99,95,66,83,100,20580,22920,2340,3630,8520,8430,29,90,540,11640,2022-09-27T22:14:59-04:00,2022-09-28T04:36:59-04:00,50.37,44,64,-0.29,-0.12,13,94,76,100,95,100,100,1108,3262,18160,19439,33180,22260,25080,3540,2340,0,1.9375,0,65,65,42,80,69,95,99,None,54
9/29/22,68,54,23,99,88,56,97,100,20460,23520,3060,1770,10410,8280,39,87,960,12180,2022-09-28T21:56:00-04:00,2022-09-29T04:28:00-04:00,51.04,46,66,-0.09,-0.1,12.625,90,65,100,95,100,100,740,2850,11799,14416,33540,1680,19200,5880,0,0,2,0,69,55,43,68,66,100,100,88,81
